suburb,date,price
Duffy,2011-02-18,565000
Nicholls,2011-02-18,616500
Wanniassa,2011-02-18,446000
Crace,2011-02-18,273500
Gordon,2011-02-18,623000
Crace,2011-02-18,281000
Fadden,2011-02-18,560000
Casey,2011-02-18,552000
Forde,2011-02-18,610000
Latham,2011-02-18,510000
Calwell,2011-02-18,435000
Holt,2011-02-18,429500
Red Hill,2011-02-18,1150000
Franklin,2011-02-18,755000
Charnwood,2011-02-18,370000
Watson,2011-02-18,750000
Calwell,2011-02-18,624000
Mawson,2011-02-18,920000
Amaroo,2011-02-18,527000
Dunlop,2011-02-18,505000
Higgins,2011-02-18,420000
Gungahlin,2011-02-18,430000
Isaacs,2011-02-19,855000
Aranda,2011-02-19,780000
Ainslie,2011-02-19,1050000
Red Hill,2011-02-19,880000
Cook,2011-02-19,925000
Ngunnawal,2011-02-19,230000
Aranda,2011-02-19,736000
Kambah,2011-02-19,412000
Macquarie,2011-02-19,498000
Kambah,2011-02-19,451000
Narrabundah,2011-02-19,580000
Evatt,2011-02-19,645000
Fadden,2011-02-19,515000
Holt,2011-02-19,500000
Page,2011-02-19,460000
Yarralumla,2011-02-19,990000
Fadden,2011-02-19,523000
Giralang,2011-02-20,195000
Gilmore,2011-02-21,429000
Wanniassa,2011-02-21,555000
Gungahlin,2011-02-21,583000
Scullin,2011-02-21,442500
McKellar,2011-02-21,665000
Higgins,2011-02-21,440000
Amaroo,2011-02-21,92000
Bonner,2011-02-21,550000
Monash,2011-02-21,456000
Bonner,2011-02-21,545000
Braddon,2011-02-21,3330000
Ngunnawal,2011-02-22,780000
Harrison,2011-02-22,657000
Stirling,2011-02-22,705000
Fisher,2011-02-22,562500
Bonner,2011-02-22,520688
Bonner,2011-02-22,475000
Ngunnawal,2011-02-22,399000
Curtin,2011-02-22,643500
Isabella Plains,2011-02-22,446000
Flynn,2011-02-22,420000
Crace,2011-02-22,255000
Downer,2011-02-22,610000
Forde,2011-02-22,319000
Conder,2011-02-22,515000
Wanniassa,2011-02-22,506500
Narrabundah,2011-02-22,707000
Gordon,2011-02-23,482000
Chapman,2011-02-23,737500
Pearce,2011-02-23,725000
Mawson,2011-02-23,422500
Downer,2011-02-23,615000
Amaroo,2011-02-23,197500
Casey,2011-02-23,229000
Chisholm,2011-02-23,480000
Kaleen,2011-02-23,550000
Hughes,2011-02-23,492500
Palmerston,2011-02-23,491000
Curtin,2011-02-23,690000
Chisholm,2011-02-23,920000
Ainslie,2011-02-23,607500
Oxley,2011-02-23,638000
Bonython,2011-02-23,620000
Gilmore,2011-02-24,540000
Nicholls,2011-02-24,677000
Theodore,2011-02-24,590000
Downer,2011-02-24,545000
Casey,2011-02-24,225000
Chapman,2011-02-24,545000
Franklin,2011-02-24,283000
Spence,2011-02-24,450000
Casey,2011-02-24,285000
Downer,2011-02-24,630000
Chisholm,2011-02-24,570000
Forde,2011-02-24,470000
Fisher,2011-02-24,570000
Crace,2011-02-24,867650
Fadden,2011-02-24,637000
Wanniassa,2011-02-24,250000
Wanniassa,2011-02-25,469000
Casey,2011-02-25,465000
Casey,2011-02-25,465000
